date,decimal,to go
491434,5799,372424
341596,5803,372423
341595,5804,372422
831631,5862,372421
831630,5863,372420
251047,5927,372419
8251047,5927,372418
961363,5941,372417
961362,5942,372416
661191,5971,372415
661190,5972,372414
611906,5972,372413
721315,5985,372412
131536,5987,372411
2131536,5987,372410
131535,5989,372409
2131535,5989,372408
161877,6010,372407
161876,6011,372406
771954,6033,372405
291629,6040,372404
4291629,6040,372403
991931,6044,372402
991930,6045,372401
991404,6057,372400
991403,6058,372399
291746,6092,372398
7291746,6092,372397
451357,6116,372396
571114,6120,372395
571113,6121,372394
941091,6127,372393
1091194,6130,372392
1091193,6131,372391
911939,6131,372390
251911,6138,372389
3251911,6138,372388
251910,6139,372387
3251910,6139,372386
191076,6140,372385
5191076,6140,372384
261879,6155,372383
531888,6161,372382
531887,6162,372381
591678,6176,372380
591677,6177,372379
781315,6181,372378
781314,6183,372377
131497,6183,372376
8131497,6183,372375
131496,6185,372374
8131496,6185,372373
921169,6197,372372
211697,6197,372371
9211697,6197,372370
971737,6201,372369
291651,6235,372368
4291651,6235,372367
651301,6238,372366
651300,6239,372365
951703,6262,372364
951702,6264,372363
451722,6277,372362
722014,6280,372361
722013,6281,372360
2201381,6282,372359
381281,6285,372358
381280,6286,372357
451960,6306,372356
121229,6311,372355
121228,6312,372354
371623,6320,372353
231302,6324,372352
6231302,6324,372351
231301,6325,372350
6231301,6325,372349
1301711,6327,372348
171144,6329,372347
711445,6330,372346
711444,6331,372345
851603,6367,372344
851602,6368,372343
491874,6384,372342
881833,6398,372341
851023,6403,372340
851022,6404,372339
321972,6433,372338
321971,6434,372337
971552,6436,372336
971551,6437,372335
551843,6439,372334
751755,6479,372333
751754,6480,372332
461395,6484,372331
461199,6508,372330
611997,6508,372329
611996,6509,372328
581538,6518,372327
621867,6534,372326
871123,6551,372325
711233,6552,372324
711232,6553,372323
921251,6562,372322
921250,6563,372321
771263,6568,372320
771262,6569,372319
821167,6593,372318
211675,6594,372317
8211675,6594,372316
211674,6595,372315
8211674,6595,372314
1021836,6606,372313
1021835,6607,372312
622013,6614,372311
2201349,6617,372310
671519,6622,372309
671518,6623,372308
151882,6624,372307
7151882,6624,372306
151881,6625,372305
7151881,6625,372304
881909,6628,372303
381198,6636,372302
811980,6639,372301
961037,6653,372300
961036,6654,372299
431939,6666,372298
921914,6715,372297
921913,6716,372296
191393,6717,372295
2191393,6717,372294
391857,6723,372293
391856,6724,372292
551002,6743,372291
361920,6756,372290
381023,6774,372289
421617,6801,372288
161727,6803,372287
2161727,6803,372286
271117,6807,372285
7271117,6807,372284
711172,6808,372283
111724,6809,372282
7111724,6809,372281
111723,6810,372280
7111723,6810,372279
221819,6827,372278
8221819,6827,372277
221818,6828,372276
8221818,6828,372275
181853,6829,372274
2181853,6829,372273
181852,6830,372272
2181852,6830,372271
851401,6840,372270
851400,6841,372269
431547,6867,372268
421073,6894,372267
7301546,6899,372266
7301545,6900,372265
851156,6930,372264
511563,6931,372263
511562,6932,372262
231989,6952,372261
7231989,6952,372260
571416,6959,372259
571415,6961,372258
141596,6961,372257
7141596,6961,372256
141595,6962,372255
7141595,6962,372254
781119,6968,372253
811196,6968,372252
111964,6969,372251
8111964,6969,372250
111963,6970,372249
8111963,6970,372248
681216,6989,372247
121603,6991,372246
8121603,6991,372245
121602,6992,372244
8121602,6992,372243
491599,7017,372242
781987,7045,372241
781986,7046,372240
381466,7055,372239
381465,7056,372238
741268,7061,372237
561454,7079,372236
561453,7080,372235
641927,7120,372234
931749,7133,372233
931748,7134,372232
991137,7156,372231
991136,7157,372230
911368,7157,372229
911367,7158,372228
362016,7178,372227
6201629,7181,372226
951541,7185,372225
541337,7188,372224
371425,7192,372223
371424,7193,372222
722012,7205,372221
2201269,7206,372220
761648,7227,372219
761647,7228,372218
752005,7239,372217
752004,7240,372216
571555,7248,372215
781965,7255,372214
621324,7262,372213
621323,7263,372212
581559,7281,372211
422020,7290,372210
2202020,7292,372209
721901,7309,372208
721900,7310,372207
561484,7316,372206
551879,7324,372205
351398,7336,372204
341576,7349,372203
361064,7357,372202
271095,7380,372201
6271095,7380,372200
591947,7387,372199
591946,7388,372198
751413,7396,372197
141310,7399,372196
5141310,7399,372195
131035,7400,372194
4131035,7400,372193
131034,7401,372192
4131034,7401,372191
691608,7426,372190
691607,7427,372189
781548,7431,372188
781547,7432,372187
781812,7436,372186
781811,7437,372185
181153,7438,372184
8181153,7438,372183
181152,7439,372182
8181152,7439,372181
811528,7439,372180
611086,7454,372179
861533,7458,372178
331504,7462,372177
521275,7469,372176
521274,7470,372175
841486,7501,372174
961207,7514,372173
151249,7520,372172
7151249,7520,372171
491404,7524,372170
341433,7547,372169
351898,7556,372168
351897,7557,372167
521641,7567,372166
641377,7570,372165
641376,7571,372164
191086,7587,372163
191085,7588,372162
391986,7600,372161
291642,7606,372160
6291642,7606,372159
421939,7612,372158
441174,7631,372157
441173,7632,372156
411739,7632,372155
591840,7644,372154
591228,7678,372153
821572,7690,372152
1071257,7700,372151
522012,7723,372150
522011,7724,372149
2201187,7725,372148
161842,7748,372147
5161842,7748,372146
161841,7749,372145
5161841,7749,372144
841635,7751,372143
841634,7752,372142
651699,7763,372141
981161,7767,372140
811614,7768,372139
161410,7771,372138
1161410,7771,372137
1161410,7771,372136
4101003,7774,372135
141010,7774,372134
6141010,7774,372133
4101002,7777,372132
291603,7792,372131
9291603,7792,372130
691041,7806,372129
1041408,7809,372128
1041407,7810,372127
621508,7819,372126
621507,7820,372125
451671,7828,372124
451670,7829,372123
821207,7845,372122
821206,7846,372121
371807,7856,372120
371806,7857,372119
861291,7880,372118
1291043,7883,372117
291043,7883,372116
1291043,7883,372115
1291042,7884,372114
291042,7884,372113
1291042,7884,372112
761826,7892,372111
761825,7893,372110
651579,7903,372109
341587,7929,372108
291749,7952,372107
6291749,7952,372106
291748,7953,372105
6291748,7953,372104
691491,7987,372103
691490,7988,372102
391276,8002,372101
391275,8003,372100
771028,8008,372099
661017,8044,372098
6101729,8047,372097
681507,8074,372096
681506,8075,372095
371829,8087,372094
941270,8093,372093
931379,8101,372092
931378,8102,372091
851786,8106,372090
671149,8122,372089
711497,8122,372088
711496,8123,372087
781711,8144,372086
171139,8146,372085
8171139,8146,372084
171138,8147,372083
8171138,8147,372082
711386,8147,372081
781230,8161,372080
12301459,8164,372079
12301458,8165,372078
871266,8172,372077
891391,8181,372076
891390,8183,372075
562009,8189,372074
361031,8197,372073
1031029,8200,372072
291616,8204,372071
10291616,8204,372070
161615,8206,372069
9161615,8206,372068
161529,8208,372067
6161529,8208,372066
161528,8209,372065
6161528,8209,372064
881384,8213,372063
231747,8227,372062
4231747,8227,372061
931493,8245,372060
931405,8249,372059
481194,8264,372058
481193,8265,372057
811936,8265,372056
811935,8266,372055
911014,8274,372054
911013,8275,372053
1101378,8276,372052
1101377,8277,372051
751721,8281,372050
721008,8284,372049
671922,8312,372048
851422,8333,372047
221448,8337,372046
4221448,8337,372045
221447,8338,372044
4221447,8338,372043
751703,8350,372042
661991,8359,372041
991040,8363,372040
751117,8370,372039
511174,8371,372038
511173,8372,372037
111735,8372,372036
5111735,8372,372035
471919,8378,372034
471918,8379,372033
191855,8380,372032
7191855,8380,372031
551282,8397,372030
551281,8398,372029
1281623,8400,372028
281623,8400,372027
1281623,8400,372026
1281622,8401,372025
281622,8401,372024
1281622,8401,372023
591633,8415,372022
391072,8423,372021
421821,8435,372020
821409,8438,372019
821408,8439,372018
391772,8452,372017
391771,8453,372016
771509,8456,372015
661758,8485,372014
441375,8492,372013
491754,8519,372012
541738,8523,372011
381884,8527,372010
381883,8530,372009
551658,8548,372008
531428,8566,372007
531427,8567,372006
971634,8593,372005
621296,8601,372004
231176,8612,372003
5231176,8612,372002
311760,8614,372001
651012,8621,372000
5101241,8623,371999
1241201,8626,371998
241201,8626,371997
1241201,8626,371996
